Lishui, China, pop=2116957
Kowloon, Hong Kong, pop=2108419
Córdoba, Argentina, pop=2106734
Zamboanga City, Philippines, pop=2100000
Rawalpindi, Pakistan, pop=2098231
Havana, Cuba, pop=2089532
Chongzuo, China, pop=2088692
Portland, United States, pop=2084045
Laibin, China, pop=2074611
San Antonio, United States, pop=2069843
Vadodara, India, pop=2065771
Qingyang, China, pop=2061600
Rājkot, India, pop=2043000
Shangzhou, China, pop=2041231
Vishākhapatnam, India, pop=2035922
Shengli, China, pop=2035338
Sanmenxia, China, pop=2034872
Warsaw, Poland, pop=2028000
Gujranwala, Pakistan, pop=2027001
Hezhou, China, pop=2007858
Aleppo, Syria, pop=2003671
Tijuana, Mexico, pop=2002000
Puning, China, pop=1998619
Indore, India, pop=1994397
Minsk, Belarus, pop=1992862
Karaj, Iran, pop=1973470
Kananga, Congo (Kinshasa), pop=1971704
Huaibei, China, pop=1970265
Peshawar, Pakistan, pop=1970042
Sacramento, United States, pop=1962998
Sapporo, Japan, pop=1959313
Tilburg, Netherlands, pop=1944588
Austin, United States, pop=1915031
Orlando, United States, pop=1913597
Davao, Philippines, pop=1910167
Songjiang, China, pop=1909713
Yinchuan, China, pop=1901793
Abhepur, India, pop=1895686
Thāne, India, pop=1886941
Multan, Pakistan, pop=1871843
Port Harcourt, Nigeria, pop=1865000
Fushun, China, pop=1861372
Tainan, Taiwan, pop=1856642
Pingliang, China, pop=1848607
Siping, China, pop=1814733
San Juan, Puerto Rico, pop=1809800
Pingxiang, China, pop=1804805
Bhopāl, India, pop=1798218
Mosul, Iraq, pop=1792000
Diyarbakır, Turkey, pop=1791373
Lubumbashi, Congo (Kinshasa), pop=1786397
Benin City, Nigeria, pop=1780000
Curitiba, Brazil, pop=1773718
San Jose, United States, pop=1771563
Shuyangzha, China, pop=1770000
Adana, Turkey, pop=1765981
Quito, Ecuador, pop=1763275
Āgra, India, pop=1760285
Peyanvilai, India, pop=1750176
Lusaka, Zambia, pop=1747152
Indianapolis, United States, pop=1740984
Hyderabad City, Pakistan, pop=1732693
Pimpri-Chinchwad, India, pop=1729320
Maracay, Venezuela, pop=1723236
Masqaţ, Oman, pop=1720000
Montevideo, Uruguay, pop=1719453
Pittsburgh, United States, pop=1712828
Cincinnati, United States, pop=1704916
Manhattan, United States, pop=1694263
Kansas City, United States, pop=1686807
Budapest, Hungary, pop=1686222
Patna, India, pop=1684222
Kampala, Uganda, pop=1680600
Beihai, China, pop=1680000
Sanzhou, China, pop=1680000
Cleveland, United States, pop=1679247
Conakry, Guinea, pop=1667864
Ximeicun, China, pop=1663542
Caloocan City, Philippines, pop=1661584
Ecatepec, Mexico, pop=1655015
Yushan, China, pop=1652159
Fuxin, China, pop=1647280
Novosibirsk, Russia, pop=1633851
Bilāspur, India, pop=1625502
Semarang, Indonesia, pop=1621384
Jingdezhen, China, pop=1618979
Ludhiāna, India, pop=1618879
Liaoyang, China, pop=1604580
Jiangyin, China, pop=1595138
Valencia, Spain, pop=1595000
Shuozhou, China, pop=1593444
León de los Aldama, Mexico, pop=1579803
Columbus, United States, pop=1578153
Puebla, Mexico, pop=1576259
Biên Hòa, Vietnam, pop=1575000
Chengtangcun, China, pop=1574648
Yopougon, Côte d’Ivoire, pop=1571065
Hebi, China, pop=1565973
Shīrāz, Iran, pop=1565572
Dushanbe, Tajikistan, pop=1564700
Madurai, India, pop=1561129
Huzhou, China, pop=1558826
Harare, Zimbabwe, pop=1558823
Tabrīz, Iran, pop=1558693
Jamshedpur, India, pop=1558000
Baicheng, China, pop=1551378
San José, Costa Rica, pop=1543000
Shaoyang, China, pop=1542600
San Salvador, El Salvador, pop=1538525
Palembang, Indonesia, pop=1535952
Kawasaki, Japan, pop=1531646
Kōbe, Japan, pop=1521707
Jiaxing, China, pop=1518654
Zhangjiajie, China, pop=1517027
Baiyin, China, pop=1512110
Guiping, China, pop=1511011
Changshu, China, pop=1510100
Jixi, China, pop=1502060
Xushan, China, pop=1502000
Lomé, Togo, pop=1500000
Niamey, Niger, pop=1496260
Gwangju, Korea, South, pop=1490092
Recife, Brazil, pop=1488920
Nāsik, India, pop=1486053
Abu Dhabi, United Arab Emirates, pop=1483000
Onitsha, Nigeria, pop=1483000
Amsterdam, Netherlands, pop=1477213
Vijayavāda, India, pop=1476931
Zapopan, Mexico, pop=1476491
Daejeon, Korea, South, pop=1475221
Bronx, United States, pop=1472654
Auckland, New Zealand, pop=1470100
Yekaterinburg, Russia, pop=1468833
Wuwei, China, pop=1464955
Jinhua, China, pop=1463990
Kyōto, Japan, pop=1463723
Pizhou, China, pop=1458038
Yangshe, China, pop=1447600
Dakar, Senegal, pop=1438725
Charlotte, United States, pop=1436613
Yucheng, China, pop=1434603
Kayseri, Turkey, pop=1434357
Virginia Beach, United States, pop=1431821
Rui’an, China, pop=1424667
Muscat, Oman, pop=1421409
Kharkiv, Ukraine, pop=1421125
Pointe-Noire, Congo (Brazzaville), pop=1420612
Medina, Saudi Arabia, pop=1411599
Sangereng, Indonesia, pop=1404785
Farīdābād, India, pop=1404653
Sofia, Bulgaria, pop=1404116
Ulaanbaatar, Mongolia, pop=1396288
Adelaide, Australia, pop=1387290
Prague, Czechia, pop=1384732
Wenling, China, pop=1366794
Copenhagen, Denmark, pop=1366301
Najafgarh, India, pop=1365152
Lianjiang, China, pop=1363470
Helsinki, Finland, pop=1360075
Samsun, Turkey, pop=1356079
Milan, Italy, pop=1354196
Antalya, Turkey, pop=1344000
Santiago, Dominican Republic, pop=1343423
Chizhou, China, pop=1342764
Makassar, Indonesia, pop=1338663
Porto Alegre, Brazil, pop=1332845
Huangshan, China, pop=1330565
Gaozhou, China, pop=1328657
Barranquilla, Colombia, pop=1326588
Al Başrah, Iraq, pop=1326564
Benxi, China, pop=1326018
Saitama, Japan, pop=1325843
Ahvāz, Iran, pop=1325000
Guarulhos, Brazil, pop=1324781
Leizhou, China, pop=1321091
Juárez, Mexico, pop=1321004
Mandalay, Burma, pop=1319452
Yangquan, China, pop=1318505
Fuqing, China, pop=1316000
Xintai, China, pop=1315942
Wusong, China, pop=1311726
Tongling, China, pop=1311726
Calgary, Canada, pop=1306784
Meerut, India, pop=1305429
Jacksonville, United States, pop=1303156
Kuaidamao, China, pop=1302778
Huazhou, China, pop=1291668
Milwaukee, United States, pop=1290221
Wuzhong, China, pop=1284000
Belém, Brazil, pop=1280614
Cacuaco, Angola, pop=1279488
Rosario, Argentina, pop=1276000
Tangier, Morocco, pop=1275428
Antananarivo, Madagascar, pop=1275207
Canagatan, Philippines, pop=1273219
Soweto, South Africa, pop=1271628
Providence, United States, pop=1270529
Xiantao, China, pop=1268715
Jabalpur, India, pop=1267564
Huaiyin, China, pop=1264000
Yutan, China, pop=1263332
Kazan, Russia, pop=1259173
Bagam, Indonesia, pop=1256610
Dayan, China, pop=1253878
Comayagüela, Honduras, pop=1250000
Brussels, Belgium, pop=1249597
Laiwu, China, pop=1248636
Huazhou, China, pop=1247807
Sharjah, United Arab Emirates, pop=1247749
Kalyān, India, pop=1246381
Rucheng, China, pop=1241700
Barquisimeto, Venezuela, pop=1240714
Yongcheng, China, pop=1240382
Sumedang, Indonesia, pop=1240000
Cần Thơ, Vietnam, pop=1237300
Suwon, Korea, South, pop=1234300
Yiwu, China, pop=1234015
Vasai-Virar, India, pop=1221233
Campinas, Brazil, pop=1213792
Dadukou, China, pop=1212203
Lingcheng, China, pop=1211637
Shuangyashan, China, pop=1208803
Nizhniy Novgorod, Russia, pop=1204985
Pānīpat, India, pop=1202811
Qom, Iran, pop=1201158
Hargeysa, Somalia, pop=1200000
Baidoa, Somalia, pop=1200000
Mombasa, Kenya, pop=1200000
Vārānasi, India, pop=1198491
Hiroshima, Japan, pop=1198021
Chiang Mai, Thailand, pop=1198000
Belgrade, Serbia, pop=1197714
Maiduguri, Nigeria, pop=1197497
Kalleli, India, pop=1197412
Batam Centre, Indonesia, pop=1196396
Pingdu, China, pop=1191348
Rongcheng, China, pop=1189813
Mbandaka, Congo (Kinshasa), pop=1187837
Xinyu, China, pop=1186700
Doha, Qatar, pop=1186023
Shymkent, Kazakhstan, pop=1184113
Tripoli, Libya, pop=1183000
Srīnagar, India, pop=1180570
Nashville, United States, pop=1178679
Chelyabinsk, Russia, pop=1177058
Aurangābād, India, pop=1175116
Cilacap, Indonesia, pop=1174964
Xinhualu, China, pop=1172237
Salt Lake City, United States, pop=1169033
Guankou, China, pop=1168056
Bandar Lampung, Indonesia, pop=1166761
Dhanbād, India, pop=1162472
Nay Pyi Taw, Burma, pop=1160242
Aba, Nigeria, pop=1160000
Jingling, China, pop=1158640
Zhuji, China, pop=1157938
Tegucigalpa, Honduras, pop=1157509
Kigali, Rwanda, pop=1156663
Samara, Russia, pop=1156659
Yingtan, China, pop=1154223
Edmonton, Canada, pop=1151635
Raleigh, United States, pop=1150010
Bishkek, Kyrgyzstan, pop=1145044
Bujumbura, Burundi, pop=1143202
Guyuan, China, pop=1142142
Leiyang, China, pop=1140675
Krasnodar, Russia, pop=1138654
Rostov, Russia, pop=1135968
Maputo, Mozambique, pop=1133200
Bukavu, Congo (Kinshasa), pop=1133000
Amritsar, India, pop=1132383
Shagamu, Nigeria, pop=1132270
Alīgarh, India, pop=1131160
